tag,helpful,weighted_vote_score,comment,date,minutes,early_access
not recommende,1,0.523809552192688,"C'est devenu une honte... A l'image d' EA ! Cheaters omniprésents ; qu'ils soient des utilisateurs de matériel hardware ou software, des smurfers ou des joueurs qui se mettent à plusieurs teams dans une partie, ils sont dans chaqu'une de vos games. Match making d'attardé... J'ai eu beau recommencer un compte pour voir ce qu'il en était, au bout de la 6e partie et étant LvL 2, impossible de faire 1 kill, des mec de niveau 450, 12000 kills avec un perso seront de votre partie mais étonnamment toujours dans les équipes adverses. Tu n'as pas encore entendu un joueur qu'il t'a déjà tué, toutes ses balles connectent alors qu'il bouge de partout et peut importe tes mouvements ou la distance. J'ai été tué un nombre incalculable de fois en cover derrière un mur, dû au tic de connection parce que mon adversaire est co depuis l'Asie ou la Russie... Pour aimer ce jeux qui était très bon à ses débuts, il faut tout simplement aimer se faire embuler avec une poignée de gravier et bouts de verre, être un sacré masochiste !",2024-08-12 11:35:59,64512,False
recommende,0,0.5,fps excellent malgrés le manque de mode de jeux et les srveurs déplorable,2024-01-03 20:38:09,15345,False
not recommende,0,0.5,le jeu le plus bugué de l'histoire,2021-08-12 17:34:41,10476,False
recommende,0,0.5,"Nerveux, rapide, intense, je le recommande vivement, mon Battle Royale de 2020 !",2020-11-30 15:24:05,1539,False
recommende,0,0.5,very very good,2021-05-20 18:15:22,206,False
recommende,0,0.5,J'adore tout simplement ce jeu,2021-09-11 04:41:59,4147,False
recommende,0,0.5,C'est noice,2021-02-17 21:10:53,1023,False
recommende,0,0.5,dynamique et excellent,2022-04-24 12:42:41,2120,False
recommende,0,0.5,good game,2022-12-05 01:56:13,208,False
recommende,0,0.5,"Très bon jeu, vraiment !",2022-11-24 19:49:42,3255,False
recommende,0,0.5,de la pépite !,2022-05-27 11:39:39,3307,False
recommende,0,0.5,tres bon jeux,2022-06-02 01:50:34,239,False
recommende,0,0.5,tres bon jeu,2022-08-09 19:03:26,6068,False
recommende,0,0.5,Nice x),2021-05-14 21:31:20,2239,False
recommende,0,0.5,Top tier FPS,2021-05-05 16:42:39,2706,False
recommende,0,0.5,good,2022-08-25 23:48:59,5149,False
recommende,0,0.5,J'aime bien,2021-09-07 05:19:13,3652,False
recommende,0,0.5,Excellent,2020-11-27 16:43:14,30,False
not recommende,3,0.5051546096801758,ea scam,2024-07-14 11:16:11,9085,False
recommende,1,0.5,bobn jeux,2022-04-30 10:30:47,344,False
recommende,0,0.5,bien,2024-03-23 13:11:44,30743,False
recommende,0,0.5,cool,2023-02-05 12:08:44,9581,False
recommende,0,0.5,gud,2022-04-06 18:37:30,1018,False
recommende,0,0.5,👍,2021-08-05 18:51:35,3005,False
recommende,0,0.5,top,2021-09-15 20:10:48,135,False
recommende,0,0.5,adzdzz,2021-03-10 13:25:52,471,False
recommende,0,0.5,fj,2021-02-03 18:15:37,899,False
not recommende,1,0.523809552192688,"C'est devenu une honte... A l'image d' EA ! Cheaters omniprésents ; qu'ils soient des utilisateurs de matériel hardware ou software, des smurfers ou des joueurs qui se mettent à plusieurs teams dans une partie, ils sont dans chaqu'une de vos games. Match making d'attardé... J'ai eu beau recommencer un compte pour voir ce qu'il en était, au bout de la 6e partie et étant LvL 2, impossible de faire 1 kill, des mec de niveau 450, 12000 kills avec un perso seront de votre partie mais étonnamment toujours dans les équipes adverses. Tu n'as pas encore entendu un joueur qu'il t'a déjà tué, toutes ses balles connectent alors qu'il bouge de partout et peut importe tes mouvements ou la distance. J'ai été tué un nombre incalculable de fois en cover derrière un mur, dû au tic de connection parce que mon adversaire est co depuis l'Asie ou la Russie... Pour aimer ce jeux qui était très bon à ses débuts, il faut tout simplement aimer se faire embuler avec une poignée de gravier et bouts de verre, être un sacré masochiste !",2024-08-12 11:35:59,64512,False
recommende,0,0.5,fps excellent malgrés le manque de mode de jeux et les srveurs déplorable,2024-01-03 20:38:09,15345,False
not recommende,0,0.5,le jeu le plus bugué de l'histoire,2021-08-12 17:34:41,10476,False
recommende,0,0.5,"Nerveux, rapide, intense, je le recommande vivement, mon Battle Royale de 2020 !",2020-11-30 15:24:05,1539,False
recommende,0,0.5,very very good,2021-05-20 18:15:22,206,False
recommende,0,0.5,J'adore tout simplement ce jeu,2021-09-11 04:41:59,4147,False
recommende,0,0.5,C'est noice,2021-02-17 21:10:53,1023,False
recommende,0,0.5,dynamique et excellent,2022-04-24 12:42:41,2120,False
recommende,0,0.5,good game,2022-12-05 01:56:13,208,False
recommende,0,0.5,"Très bon jeu, vraiment !",2022-11-24 19:49:42,3255,False
recommende,0,0.5,de la pépite !,2022-05-27 11:39:39,3307,False
recommende,0,0.5,tres bon jeux,2022-06-02 01:50:34,239,False
recommende,0,0.5,tres bon jeu,2022-08-09 19:03:26,6068,False
recommende,0,0.5,Nice x),2021-05-14 21:31:20,2239,False
recommende,0,0.5,Top tier FPS,2021-05-05 16:42:39,2706,False
recommende,0,0.5,good,2022-08-25 23:48:59,5149,False
recommende,0,0.5,J'aime bien,2021-09-07 05:19:13,3652,False
recommende,0,0.5,Excellent,2020-11-27 16:43:14,30,False
not recommende,3,0.5051546096801758,ea scam,2024-07-14 11:16:11,9085,False
recommende,1,0.5,bobn jeux,2022-04-30 10:30:47,344,False
recommende,0,0.5,bien,2024-03-23 13:11:44,30743,False
recommende,0,0.5,cool,2023-02-05 12:08:44,9581,False
recommende,0,0.5,gud,2022-04-06 18:37:30,1018,False
recommende,0,0.5,👍,2021-08-05 18:51:35,3005,False
recommende,0,0.5,top,2021-09-15 20:10:48,135,False
recommende,0,0.5,adzdzz,2021-03-10 13:25:52,471,False
recommende,0,0.5,fj,2021-02-03 18:15:37,899,False
not recommende,1,0.523809552192688,"C'est devenu une honte... A l'image d' EA ! Cheaters omniprésents ; qu'ils soient des utilisateurs de matériel hardware ou software, des smurfers ou des joueurs qui se mettent à plusieurs teams dans une partie, ils sont dans chaqu'une de vos games. Match making d'attardé... J'ai eu beau recommencer un compte pour voir ce qu'il en était, au bout de la 6e partie et étant LvL 2, impossible de faire 1 kill, des mec de niveau 450, 12000 kills avec un perso seront de votre partie mais étonnamment toujours dans les équipes adverses. Tu n'as pas encore entendu un joueur qu'il t'a déjà tué, toutes ses balles connectent alors qu'il bouge de partout et peut importe tes mouvements ou la distance. J'ai été tué un nombre incalculable de fois en cover derrière un mur, dû au tic de connection parce que mon adversaire est co depuis l'Asie ou la Russie... Pour aimer ce jeux qui était très bon à ses débuts, il faut tout simplement aimer se faire embuler avec une poignée de gravier et bouts de verre, être un sacré masochiste !",2024-08-12 11:35:59,64512,False
recommende,0,0.5,fps excellent malgrés le manque de mode de jeux et les srveurs déplorable,2024-01-03 20:38:09,15345,False
not recommende,0,0.5,le jeu le plus bugué de l'histoire,2021-08-12 17:34:41,10476,False
recommende,0,0.5,"Nerveux, rapide, intense, je le recommande vivement, mon Battle Royale de 2020 !",2020-11-30 15:24:05,1539,False
recommende,0,0.5,very very good,2021-05-20 18:15:22,206,False
recommende,0,0.5,J'adore tout simplement ce jeu,2021-09-11 04:41:59,4147,False
recommende,0,0.5,C'est noice,2021-02-17 21:10:53,1023,False
recommende,0,0.5,dynamique et excellent,2022-04-24 12:42:41,2120,False
recommende,0,0.5,good game,2022-12-05 01:56:13,208,False
recommende,0,0.5,"Très bon jeu, vraiment !",2022-11-24 19:49:42,3255,False
recommende,0,0.5,de la pépite !,2022-05-27 11:39:39,3307,False
recommende,0,0.5,tres bon jeux,2022-06-02 01:50:34,239,False
recommende,0,0.5,tres bon jeu,2022-08-09 19:03:26,6068,False
recommende,0,0.5,Nice x),2021-05-14 21:31:20,2239,False
recommende,0,0.5,Top tier FPS,2021-05-05 16:42:39,2706,False
recommende,0,0.5,good,2022-08-25 23:48:59,5149,False
recommende,0,0.5,J'aime bien,2021-09-07 05:19:13,3652,False
recommende,0,0.5,Excellent,2020-11-27 16:43:14,30,False
not recommende,3,0.5051546096801758,ea scam,2024-07-14 11:16:11,9085,False
recommende,1,0.5,bobn jeux,2022-04-30 10:30:47,344,False
recommende,0,0.5,bien,2024-03-23 13:11:44,30743,False
recommende,0,0.5,cool,2023-02-05 12:08:44,9581,False
recommende,0,0.5,gud,2022-04-06 18:37:30,1018,False
recommende,0,0.5,👍,2021-08-05 18:51:35,3005,False
recommende,0,0.5,top,2021-09-15 20:10:48,135,False
recommende,0,0.5,adzdzz,2021-03-10 13:25:52,471,False
recommende,0,0.5,fj,2021-02-03 18:15:37,899,False
not recommende,1,0.523809552192688,"C'est devenu une honte... A l'image d' EA ! Cheaters omniprésents ; qu'ils soient des utilisateurs de matériel hardware ou software, des smurfers ou des joueurs qui se mettent à plusieurs teams dans une partie, ils sont dans chaqu'une de vos games. Match making d'attardé... J'ai eu beau recommencer un compte pour voir ce qu'il en était, au bout de la 6e partie et étant LvL 2, impossible de faire 1 kill, des mec de niveau 450, 12000 kills avec un perso seront de votre partie mais étonnamment toujours dans les équipes adverses. Tu n'as pas encore entendu un joueur qu'il t'a déjà tué, toutes ses balles connectent alors qu'il bouge de partout et peut importe tes mouvements ou la distance. J'ai été tué un nombre incalculable de fois en cover derrière un mur, dû au tic de connection parce que mon adversaire est co depuis l'Asie ou la Russie... Pour aimer ce jeux qui était très bon à ses débuts, il faut tout simplement aimer se faire embuler avec une poignée de gravier et bouts de verre, être un sacré masochiste !",2024-08-12 11:35:59,64512,False
recommende,0,0.5,fps excellent malgrés le manque de mode de jeux et les srveurs déplorable,2024-01-03 20:38:09,15345,False
not recommende,0,0.5,le jeu le plus bugué de l'histoire,2021-08-12 17:34:41,10476,False
recommende,0,0.5,"Nerveux, rapide, intense, je le recommande vivement, mon Battle Royale de 2020 !",2020-11-30 15:24:05,1539,False
recommende,0,0.5,very very good,2021-05-20 18:15:22,206,False
recommende,0,0.5,J'adore tout simplement ce jeu,2021-09-11 04:41:59,4147,False
recommende,0,0.5,C'est noice,2021-02-17 21:10:53,1023,False
recommende,0,0.5,dynamique et excellent,2022-04-24 12:42:41,2120,False
recommende,0,0.5,good game,2022-12-05 01:56:13,208,False
recommende,0,0.5,"Très bon jeu, vraiment !",2022-11-24 19:49:42,3255,False
recommende,0,0.5,de la pépite !,2022-05-27 11:39:39,3307,False
recommende,0,0.5,tres bon jeux,2022-06-02 01:50:34,239,False
recommende,0,0.5,tres bon jeu,2022-08-09 19:03:26,6068,False
recommende,0,0.5,Nice x),2021-05-14 21:31:20,2239,False
recommende,0,0.5,Top tier FPS,2021-05-05 16:42:39,2706,False
recommende,0,0.5,good,2022-08-25 23:48:59,5149,False
recommende,0,0.5,J'aime bien,2021-09-07 05:19:13,3652,False
recommende,0,0.5,Excellent,2020-11-27 16:43:14,30,False
not recommende,3,0.5051546096801758,ea scam,2024-07-14 11:16:11,9085,False
recommende,1,0.5,bobn jeux,2022-04-30 10:30:47,344,False
recommende,0,0.5,bien,2024-03-23 13:11:44,30743,False
recommende,0,0.5,cool,2023-02-05 12:08:44,9581,False
recommende,0,0.5,gud,2022-04-06 18:37:30,1018,False
recommende,0,0.5,👍,2021-08-05 18:51:35,3005,False
recommende,0,0.5,top,2021-09-15 20:10:48,135,False
recommende,0,0.5,adzdzz,2021-03-10 13:25:52,471,False
recommende,0,0.5,fj,2021-02-03 18:15:37,899,False
not recommende,1,0.523809552192688,"C'est devenu une honte... A l'image d' EA ! Cheaters omniprésents ; qu'ils soient des utilisateurs de matériel hardware ou software, des smurfers ou des joueurs qui se mettent à plusieurs teams dans une partie, ils sont dans chaqu'une de vos games. Match making d'attardé... J'ai eu beau recommencer un compte pour voir ce qu'il en était, au bout de la 6e partie et étant LvL 2, impossible de faire 1 kill, des mec de niveau 450, 12000 kills avec un perso seront de votre partie mais étonnamment toujours dans les équipes adverses. Tu n'as pas encore entendu un joueur qu'il t'a déjà tué, toutes ses balles connectent alors qu'il bouge de partout et peut importe tes mouvements ou la distance. J'ai été tué un nombre incalculable de fois en cover derrière un mur, dû au tic de connection parce que mon adversaire est co depuis l'Asie ou la Russie... Pour aimer ce jeux qui était très bon à ses débuts, il faut tout simplement aimer se faire embuler avec une poignée de gravier et bouts de verre, être un sacré masochiste !",2024-08-12 11:35:59,64512,False
recommende,0,0.5,fps excellent malgrés le manque de mode de jeux et les srveurs déplorable,2024-01-03 20:38:09,15345,False
not recommende,0,0.5,le jeu le plus bugué de l'histoire,2021-08-12 17:34:41,10476,False
recommende,0,0.5,"Nerveux, rapide, intense, je le recommande vivement, mon Battle Royale de 2020 !",2020-11-30 15:24:05,1539,False
recommende,0,0.5,very very good,2021-05-20 18:15:22,206,False
recommende,0,0.5,J'adore tout simplement ce jeu,2021-09-11 04:41:59,4147,False
recommende,0,0.5,C'est noice,2021-02-17 21:10:53,1023,False
recommende,0,0.5,dynamique et excellent,2022-04-24 12:42:41,2120,False
recommende,0,0.5,good game,2022-12-05 01:56:13,208,False
recommende,0,0.5,"Très bon jeu, vraiment !",2022-11-24 19:49:42,3255,False
recommende,0,0.5,de la pépite !,2022-05-27 11:39:39,3307,False
recommende,0,0.5,tres bon jeux,2022-06-02 01:50:34,239,False
recommende,0,0.5,tres bon jeu,2022-08-09 19:03:26,6068,False
recommende,0,0.5,Nice x),2021-05-14 21:31:20,2239,False
recommende,0,0.5,Top tier FPS,2021-05-05 16:42:39,2706,False
recommende,0,0.5,good,2022-08-25 23:48:59,5149,False
recommende,0,0.5,J'aime bien,2021-09-07 05:19:13,3652,False
recommende,0,0.5,Excellent,2020-11-27 16:43:14,30,False
not recommende,3,0.5051546096801758,ea scam,2024-07-14 11:16:11,9085,False
recommende,1,0.5,bobn jeux,2022-04-30 10:30:47,344,False
recommende,0,0.5,bien,2024-03-23 13:11:44,30743,False
recommende,0,0.5,cool,2023-02-05 12:08:44,9581,False
recommende,0,0.5,gud,2022-04-06 18:37:30,1018,False
recommende,0,0.5,👍,2021-08-05 18:51:35,3005,False
recommende,0,0.5,top,2021-09-15 20:10:48,135,False
recommende,0,0.5,adzdzz,2021-03-10 13:25:52,471,False
recommende,0,0.5,fj,2021-02-03 18:15:37,899,False
not recommende,1,0.523809552192688,"C'est devenu une honte... A l'image d' EA ! Cheaters omniprésents ; qu'ils soient des utilisateurs de matériel hardware ou software, des smurfers ou des joueurs qui se mettent à plusieurs teams dans une partie, ils sont dans chaqu'une de vos games. Match making d'attardé... J'ai eu beau recommencer un compte pour voir ce qu'il en était, au bout de la 6e partie et étant LvL 2, impossible de faire 1 kill, des mec de niveau 450, 12000 kills avec un perso seront de votre partie mais étonnamment toujours dans les équipes adverses. Tu n'as pas encore entendu un joueur qu'il t'a déjà tué, toutes ses balles connectent alors qu'il bouge de partout et peut importe tes mouvements ou la distance. J'ai été tué un nombre incalculable de fois en cover derrière un mur, dû au tic de connection parce que mon adversaire est co depuis l'Asie ou la Russie... Pour aimer ce jeux qui était très bon à ses débuts, il faut tout simplement aimer se faire embuler avec une poignée de gravier et bouts de verre, être un sacré masochiste !",2024-08-12 11:35:59,64512,False
recommende,0,0.5,fps excellent malgrés le manque de mode de jeux et les srveurs déplorable,2024-01-03 20:38:09,15345,False
not recommende,0,0.5,le jeu le plus bugué de l'histoire,2021-08-12 17:34:41,10476,False
recommende,0,0.5,"Nerveux, rapide, intense, je le recommande vivement, mon Battle Royale de 2020 !",2020-11-30 15:24:05,1539,False
recommende,0,0.5,very very good,2021-05-20 18:15:22,206,False
recommende,0,0.5,J'adore tout simplement ce jeu,2021-09-11 04:41:59,4147,False
recommende,0,0.5,C'est noice,2021-02-17 21:10:53,1023,False
recommende,0,0.5,dynamique et excellent,2022-04-24 12:42:41,2120,False
recommende,0,0.5,good game,2022-12-05 01:56:13,208,False
recommende,0,0.5,"Très bon jeu, vraiment !",2022-11-24 19:49:42,3255,False
recommende,0,0.5,de la pépite !,2022-05-27 11:39:39,3307,False
recommende,0,0.5,tres bon jeux,2022-06-02 01:50:34,239,False
recommende,0,0.5,tres bon jeu,2022-08-09 19:03:26,6068,False
recommende,0,0.5,Nice x),2021-05-14 21:31:20,2239,False
recommende,0,0.5,Top tier FPS,2021-05-05 16:42:39,2706,False
recommende,0,0.5,good,2022-08-25 23:48:59,5149,False
recommende,0,0.5,J'aime bien,2021-09-07 05:19:13,3652,False
recommende,0,0.5,Excellent,2020-11-27 16:43:14,30,False
not recommende,3,0.5051546096801758,ea scam,2024-07-14 11:16:11,9085,False
recommende,1,0.5,bobn jeux,2022-04-30 10:30:47,344,False
recommende,0,0.5,bien,2024-03-23 13:11:44,30743,False
recommende,0,0.5,cool,2023-02-05 12:08:44,9581,False
recommende,0,0.5,gud,2022-04-06 18:37:30,1018,False
recommende,0,0.5,👍,2021-08-05 18:51:35,3005,False
recommende,0,0.5,top,2021-09-15 20:10:48,135,False
recommende,0,0.5,adzdzz,2021-03-10 13:25:52,471,False
recommende,0,0.5,fj,2021-02-03 18:15:37,899,False
not recommende,1,0.523809552192688,"C'est devenu une honte... A l'image d' EA ! Cheaters omniprésents ; qu'ils soient des utilisateurs de matériel hardware ou software, des smurfers ou des joueurs qui se mettent à plusieurs teams dans une partie, ils sont dans chaqu'une de vos games. Match making d'attardé... J'ai eu beau recommencer un compte pour voir ce qu'il en était, au bout de la 6e partie et étant LvL 2, impossible de faire 1 kill, des mec de niveau 450, 12000 kills avec un perso seront de votre partie mais étonnamment toujours dans les équipes adverses. Tu n'as pas encore entendu un joueur qu'il t'a déjà tué, toutes ses balles connectent alors qu'il bouge de partout et peut importe tes mouvements ou la distance. J'ai été tué un nombre incalculable de fois en cover derrière un mur, dû au tic de connection parce que mon adversaire est co depuis l'Asie ou la Russie... Pour aimer ce jeux qui était très bon à ses débuts, il faut tout simplement aimer se faire embuler avec une poignée de gravier et bouts de verre, être un sacré masochiste !",2024-08-12 11:35:59,64512,False
recommende,0,0.5,fps excellent malgrés le manque de mode de jeux et les srveurs déplorable,2024-01-03 20:38:09,15345,False
not recommende,0,0.5,le jeu le plus bugué de l'histoire,2021-08-12 17:34:41,10476,False
recommende,0,0.5,"Nerveux, rapide, intense, je le recommande vivement, mon Battle Royale de 2020 !",2020-11-30 15:24:05,1539,False
recommende,0,0.5,very very good,2021-05-20 18:15:22,206,False
recommende,0,0.5,J'adore tout simplement ce jeu,2021-09-11 04:41:59,4147,False
recommende,0,0.5,C'est noice,2021-02-17 21:10:53,1023,False
recommende,0,0.5,dynamique et excellent,2022-04-24 12:42:41,2120,False
recommende,0,0.5,good game,2022-12-05 01:56:13,208,False
recommende,0,0.5,"Très bon jeu, vraiment !",2022-11-24 19:49:42,3255,False
recommende,0,0.5,de la pépite !,2022-05-27 11:39:39,3307,False
recommende,0,0.5,tres bon jeux,2022-06-02 01:50:34,239,False
recommende,0,0.5,tres bon jeu,2022-08-09 19:03:26,6068,False
recommende,0,0.5,Nice x),2021-05-14 21:31:20,2239,False
recommende,0,0.5,Top tier FPS,2021-05-05 16:42:39,2706,False
recommende,0,0.5,good,2022-08-25 23:48:59,5149,False
recommende,0,0.5,J'aime bien,2021-09-07 05:19:13,3652,False
recommende,0,0.5,Excellent,2020-11-27 16:43:14,30,False
not recommende,3,0.5051546096801758,ea scam,2024-07-14 11:16:11,9085,False
recommende,1,0.5,bobn jeux,2022-04-30 10:30:47,344,False
recommende,0,0.5,bien,2024-03-23 13:11:44,30743,False
recommende,0,0.5,cool,2023-02-05 12:08:44,9581,False
recommende,0,0.5,gud,2022-04-06 18:37:30,1018,False
recommende,0,0.5,👍,2021-08-05 18:51:35,3005,False
recommende,0,0.5,top,2021-09-15 20:10:48,135,False
recommende,0,0.5,adzdzz,2021-03-10 13:25:52,471,False
recommende,0,0.5,fj,2021-02-03 18:15:37,899,False
not recommende,1,0.523809552192688,"C'est devenu une honte... A l'image d' EA ! Cheaters omniprésents ; qu'ils soient des utilisateurs de matériel hardware ou software, des smurfers ou des joueurs qui se mettent à plusieurs teams dans une partie, ils sont dans chaqu'une de vos games. Match making d'attardé... J'ai eu beau recommencer un compte pour voir ce qu'il en était, au bout de la 6e partie et étant LvL 2, impossible de faire 1 kill, des mec de niveau 450, 12000 kills avec un perso seront de votre partie mais étonnamment toujours dans les équipes adverses. Tu n'as pas encore entendu un joueur qu'il t'a déjà tué, toutes ses balles connectent alors qu'il bouge de partout et peut importe tes mouvements ou la distance. J'ai été tué un nombre incalculable de fois en cover derrière un mur, dû au tic de connection parce que mon adversaire est co depuis l'Asie ou la Russie... Pour aimer ce jeux qui était très bon à ses débuts, il faut tout simplement aimer se faire embuler avec une poignée de gravier et bouts de verre, être un sacré masochiste !",2024-08-12 11:35:59,64512,False
recommende,0,0.5,fps excellent malgrés le manque de mode de jeux et les srveurs déplorable,2024-01-03 20:38:09,15345,False
not recommende,0,0.5,le jeu le plus bugué de l'histoire,2021-08-12 17:34:41,10476,False
recommende,0,0.5,"Nerveux, rapide, intense, je le recommande vivement, mon Battle Royale de 2020 !",2020-11-30 15:24:05,1539,False
recommende,0,0.5,very very good,2021-05-20 18:15:22,206,False
recommende,0,0.5,J'adore tout simplement ce jeu,2021-09-11 04:41:59,4147,False
recommende,0,0.5,C'est noice,2021-02-17 21:10:53,1023,False
recommende,0,0.5,dynamique et excellent,2022-04-24 12:42:41,2120,False
